"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AURKB",303.960983555087,3.63108284383445,0.441211313075348,8.22980448648276,1.87519254684914e-16,1.62786804415222e-14
"H2AC13",15.8138417734462,3.63050264268255,0.610577868939173,5.94601086506827,2.7475591777071e-09,4.72646291100683e-08
"ORM1",20.9710661580281,3.62434344854231,0.758495527192077,4.77833199881811,1.76755358693269e-06,1.50697737767706e-05
"GAL3ST2",12.1415456213285,3.61882094430017,0.721279354013657,5.01722519043801,5.24231086990838e-07,5.15890082246409e-06
"CENPF",2727.04111255161,3.60146431560575,0.392963647784163,9.16487908210752,4.96025521444143e-20,1.17057207279056e-17
"PLAC1",15.8031010593714,3.59885851886593,0.586246812213914,6.13881123766819,8.3141288296571e-10,1.61323098949277e-08
"ACOD1",1.26835481069967,3.59178378397096,1.1281424632863,3.18380337666577,0.00145353709303815,0.00537519034238221
"RNU6-813P",13.0732262128705,3.58865600031915,0.947636821989151,3.78695288854049,0.000152506001427052,0.000759779335250532
"STRA8",3.86058787894194,3.57989568730113,0.94723479100302,3.77931186787429,0.00015726235921314,0.00078107400191945
"FGF5",4.25834704986121,3.57568641882447,0.726851882589056,4.91941550194219,8.68030305305403e-07,8.0469918501367e-06
"CDCA8",617.636040812414,3.57367847308393,0.350766661512346,10.1881930787717,2.23886712912216e-24,1.73311429796952e-21
"PBK",269.227461259898,3.5649682760631,0.414103837055925,8.60887525555975,7.37808826738304e-18,9.48884611191956e-16
"HORMAD1",98.9314745559365,3.5648412513591,0.829832595189476,4.29585590156908,1.74020599714255e-05,0.000113799266000925
"RRM2",1226.22776627423,3.56361863775757,0.44087238708959,8.08310690828865,6.31372282742812e-16,4.85657154323719e-14
"RPL6P11",1.70320528484741,3.55701256179829,1.39988932694211,2.54092412402925,0.0110559909824249,0.0301546199292866
"FN1",89948.2465906758,3.5566754760963,0.343197363114197,10.3633531558132,3.63973958887429e-25,3.15968393524169e-22
"HAPLN1",33.653390864805,3.55304609401422,0.574500606807156,6.1845819689567,6.22672522588133e-10,1.239204791935e-08
"SIMALR",2.79209465754941,3.54252938682502,0.817834221193972,4.33159837901282,1.4803077828929e-05,9.91508439756897e-05
"CNIH2",125.669892894113,3.54214078346651,0.438687252850456,8.07441009614654,6.78036359495331e-16,5.15032180945406e-14
"NEIL3",68.2665551012038,3.52740731943187,0.448491038571529,7.8650564137622,3.68931151044612e-15,2.32924921777699e-13
"CCL7",10.2890355120039,3.52648222500726,0.930156015192201,3.79128035233806,0.000149872659828039,0.000748347317674641
"UHRF1",513.050213084069,3.51691811170474,0.418032059178598,8.41303444194021,3.99537586798293e-17,4.18601729409747e-15
"LINC02570",2.23733949868867,3.51416114424922,1.5096096741409,2.3278607738448,0.0199194977375207,0.0494771338142157
"SMIM32",1.54224614021471,3.51394168141609,0.926969074584348,3.79078631397896,0.000150171112199333,0.000749529614831456
"MC5R",2.10099182367458,3.51212222795058,0.944934486805664,3.71678912876093,0.000201770711563634,0.000968682734737755
"CKAP2L",249.345965339636,3.51118013346484,0.396197294043203,8.86220119686624,7.84498551088658e-19,1.28843285684541e-16
"LINC00922",10.149465124073,3.50972423759063,0.526897610234269,6.66111246173643,2.71762580307365e-11,7.25904729618805e-10
"ZNF670-ZNF695",3.1367730587302,3.50967015740957,0.613035510418762,5.72506828358463,1.03392146476305e-08,1.54941609395779e-07
"LOC124901872",1.89826533844907,3.50894102083692,0.68125312924132,5.15071545395272,2.59494636098113e-07,2.75197910978919e-06
"CDK1",1095.18289970542,3.49428426270395,0.378755520828681,9.22569855895115,2.81718524241729e-20,6.98748180484052e-18
"H3C10",134.782255874708,3.49417248047251,0.514432283357743,6.79228849648734,1.10368556023301e-11,3.25573846026502e-10
"LINC01929",36.5313094800171,3.48971904191749,0.520642531332616,6.70271603240969,2.04580794395436e-11,5.65727573307151e-10
"SLC6A4",186.951522993882,3.48104139688602,0.666596657667171,5.22211048742476,1.76895365976552e-07,1.93946579196754e-06
"LINC03053",5.46957700061259,3.48085616841604,0.759668878275434,4.58207025186832,4.6039516256116e-06,3.53916040998549e-05
"MAFA-AS1",1.89743103463956,3.48076032418637,0.721503959227483,4.82431216027315,1.4048724447235e-06,1.23056700950969e-05
"SKA3",253.206449695673,3.46677443743286,0.418384765273147,8.28609147651333,1.17030785170523e-16,1.06144302057459e-14
"VSTM2A",26.1062386204374,3.46140973880925,0.892462264578441,3.87849422456451,0.000105105021520518,0.000551195225803931
"RCOR2",221.775778728887,3.4581605278723,0.507615745292308,6.81255567807679,9.58799280258332e-12,2.85607035603423e-10
"PTTG1",515.118077631514,3.45732565929304,0.385270302435569,8.97376630754255,2.86544853367258e-19,5.61697237967575e-17
"MS4A8",23.3841806906614,3.44321012431679,0.794967839090676,4.33125713394307,1.48260419192741e-05,9.92773005321751e-05
"H2BC17",6.19552936123473,3.43407664718272,0.658248310698341,5.21699272352022,1.81851400701487e-07,1.99021251546648e-06
"GTSE1",319.105385594789,3.43161068667371,0.378489307837231,9.06659875356233,1.22790107756267e-19,2.64129128250583e-17
"H2AC14",1.5913083665628,3.43135007497816,0.800788912176168,4.28496202033238,1.82770408495879e-05,0.00011904073738771
"KRT41P",25.4865701402942,3.43001874432396,0.824400881772713,4.16061993644206,3.17384885997424e-05,0.000192627442611322
"GBX2",1.61193890913303,3.42995289214817,0.795628025718967,4.31100059484293,1.62517468372428e-05,0.000107345437601321
"KIF20A",720.711642042068,3.42971032376707,0.332198697276384,10.3242738514221,5.47313557659028e-25,4.58743125724759e-22
