"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PAK5",72.7300779709384,-3.88732854600786,0.593790050072082,-6.54663806767386,5.8846745393617e-11,1.44192322609138e-09
"LINC01586",4.13275631367995,-3.8845965218739,0.842215761167777,-4.61235315341012,3.98135805912393e-06,3.10873338718681e-05
"PRRT4",163.416469104988,-3.88133682182415,0.556624707248425,-6.97298695383257,3.1028140967549e-12,1.0198216623549e-10
"AFP",121.996185648496,-3.87305644332063,0.749145800971747,-5.16996349481868,2.34139727637294e-07,2.51379609526488e-06
"GYG2",4307.22086725853,-3.86427367679382,0.510861660229707,-7.56422722162447,3.90177185893771e-14,1.96356870756106e-12
"SLC7A14-AS1",13.2550266772831,-3.862284282017,0.450567920132586,-8.57203566752037,1.01671587006669e-17,1.27388209555212e-15
"RDH5",152.636156474728,-3.85761488036394,0.554272626059206,-6.95977881460789,3.40807390250022e-12,1.10896991095144e-10
"PTN",3065.27464701867,-3.85312609907369,0.455780560599888,-8.45390618240121,2.81715708412969e-17,3.04340609973069e-15
"CA3",666.967389672168,-3.85199540933292,0.602864225638576,-6.38949077672132,1.66439075889499e-10,3.7459579793019e-09
"HSPB7",1275.29710345196,-3.85117181588178,0.587891496575487,-6.55082075232445,5.72217095462422e-11,1.41206913090407e-09
"OVCH2",49.0251696875067,-3.84556522406955,0.678910419937388,-5.66431904878438,1.47609536386596e-08,2.13060867039726e-07
"LINC01942",2.07803325393203,-3.84422936838182,0.793769524371234,-4.84300448726214,1.27890399328662e-06,1.13164613632391e-05
"KCNA4",9.01027647007626,-3.84208775548492,0.808700378886618,-4.75094096131688,2.02472246399059e-06,1.69992673402519e-05
"LOC283299",14.8964595280362,-3.84034715600073,0.798275043599414,-4.81080698537767,1.50322128911207e-06,1.30729158763675e-05
"PGM5P4-AS1",8.54663049163682,-3.83575235110363,0.635044530007186,-6.04013131340604,1.53988856371819e-09,2.81429107656376e-08
"FGF17",4.37556564833645,-3.83412216296704,0.529844605959399,-7.23631442095088,4.61041789546387e-13,1.81042694321551e-11
"INSYN2B",338.521175932673,-3.83032537446477,0.522799466896155,-7.32656710077633,2.36122994429689e-13,9.94703921248259e-12
"CLDN19",134.321999651328,-3.81672529822699,0.608279159318996,-6.27462775890602,3.50471751931907e-10,7.35023026247529e-09
"AOC3",8016.81666723736,-3.81218857381735,0.49597632005934,-7.6862310147413,1.51532785649033e-14,8.39022191519601e-13
"LOC102723475",11.1130759277921,-3.81147605692573,0.561031913122883,-6.79368850108693,1.09302258473862e-11,3.23124740714942e-10
"NPR1",2016.10831827952,-3.80405086435301,0.426355268472153,-8.92225602837008,4.56884537670943e-19,8.22629070901305e-17
